Sentence,Label
 hey the valley guy thanks for the comment your right on the mark just hope the liberals amp get serious about reversing global warming amp climate change get with the real issue of saving our planet amp life itself note ,0
 niggas be mentally dating females they never met before you on instagram double tapn that ho too much mane,1
 you do know antifa is far left republicans are peaceful we just only use violence to protect ourselves from antifa,0
 she was always a pathetic mutt desperately seeking attention a purpose no matter what jp writes that will never change,0
 text me niggah,1
 when yall got the same baby mama and realize that bitch is the real enemy ,1
 i always want to speak to ppl i converse with on twitter but they always look at me like bitch idk you in real life smh,1
 when you clam up my survival instinct is to kick the door shut,0
 if he cant hear that pussy smacking then it aint wet enough,1
i know that karma too real so i hope you doing cool but still stupid ass bitch i aint fuckin w you,1
 vader is a sith not a jedi duh  vader is also a whiny bitch  yoda is motherfucking yoda micdrop,1
this bitch forehead hairline who lied to her approved this shit ,1
the indians and stanis will just spit all over the street ,0
 honestly the performers on there red carpet were trash hahahaahahahaha,1
women who are feminist are the ugly bitches who cant find a man for themselves,1
 chatt niccas love doin dat brah,1
 just checked my watch n that bitch said sometimes,1
 oasis says she is happy to oblige ,0
 i hate it when a bitch know i dont fuck with her she really trying to talk to me like we cool nahh bitch foh you dont ,1
 naaa ive spent  hours laughing my huge nuts off at your stupidity you fink your some kind of entity but your all a bunch of scared antifa pussies wiv no muscle to see anyone you try to bully even that is pathetic,1
right now when i think of wasp s i think of new england liberals who have never had a taste of diversity in their life ,1
have you ever thought a bitch was wet as fuck but woke up the next morning realized that she was just on her period,1
your bitch choosing just letr,1
 ya beats trash nigga sosaonthebeat fuck who dont like,1
no summer school eat a dick school im done with your bitch ass ,1
tf bitches get a couple and be fstow,1
 you may not like my stance on cops but i didnt and would not call you a cunt please stop copying me on these tweets,1
 i am working fag,1
the redskins trash as fuck for not getting that,1
 why would i pay sex when i can getfree pussy that makes no sence at all,1
 cuz the whole team trash,1
 last year i had to explain why queer theory is the acceptable academic term,0
charlie crist and rick scott are both scumbags however interesting that crist has yet to run one just one positive political ad,0
 apple tv got the nfl channel on that bitch im pretty sure theyre all on there ive watched a couple ,1
 white bitches love cocaine,1
 if my tweets ever offended you  im sorry  it wont happen again    are lies  youre a fucking pussy,1
 you are a lazy redneck get back to work governing stay off twitter with your lying bullshitstockmantheliar,1
like a great drum in a mothers chest the anthem of a peaceful army im guessing anthem is the song josh wrote for his mother hes said in interviews that she is where his philosophy comes from,0
 lol cause these hoes love me,1
 true nothing shuts up libdog bitches who like to bark at anything thats calledpreaching the truth,1
 lmfao i wasnt scanning anythingthe fat hoes was hittin me up,1
 fellow anarchists quit being vaginas p like jr high up in this bitch,1
 damn bitches on a niggas mind haha,1
 how u talkin to hoes bout bronemwhy u talkin to hoes bout bronem,1
i was flying down the slope and just rammed into this small asian boy kid got up like a champ and walked it off,1
yall im so mad i wasted them calories on that honey bun that ho was dry as hell ,1
but shawty you not a bitch you the one i get money wid,1
 nov  thanksgiving dinner pm proof on main a day being preoccupied with a giant bird in your http ,0
fresh japanese model toys her succulant pussy until she cums ,1
 for all those watching that so raven look at this negro now lol ,1
but why does my school always have prom on friday the th like this isnt some freddy vs jason shit even tho some bitches gonna look it ,1
 if he asks what you about to do after yall get done fucking you a hoe,1
 original bad bitch ,1
thee bears are trash tho,0
 if i die from him again i might say fuck him and his armor and leave it there in his crypt and never go back lol,1
 fuck i forgot to wear a belt ima feel like a coon all day now,1
they act as if negros with aids should have the right to reproduce when they will die off and have no way to take care of the kid i cant believe that they are doing this by the millions its crazy,1
 baseball season for the win yankees this is where the love started,0
 im not close to being your dude master chan thats right bitch bow down to your master ,1
if your main reason for disliking something is because it is popular there is a  chance youre a little stupid idiot bitch baby child,1
 pussy i aint had a coochie since i was  ,1
 ill kill this bitch no hesitation ,1
 some of you hoes too ,1
 youre an annoying cunt,1
 thats your answer shut the fuck up you should join antifa with all the other loudmouth punks,1
new bitch already and its the second episode ,1
 no doubt progressive nazi antifa liberal democrats do,1
 the only place for a ho in the garden,1
oh no its friday night the night all the bitches cheat,1
 all nfl stadiums play music by jayz a former drug dealer whose diaphragm wouldnt work wo saying nigger in every song,1
free lee bitch l,1
view from the ghetto aint bad rio ,0
this bitch takes bitch to another level,1
yes lawd god took extra time on you you have lips like kylie jenner bitch im black ,1
 show a lotta love to my sisters tho but these bitches so predictable im in trouble,1
